human_symbol	mouse_symbol
ATF4	Atf4
DDIT3	Ddit3
PPP1R15A	Ppp1r15a
XBP1	Xbp1
SQSTM1	Sqstm1
HSPB1	Hspb1
GADD45A	Gadd45a
CDKN1A	Cdkn1a
