human_symbol	mouse_symbol
RPLP0	Rplp0
RPL13A	Rpl13a
RPL10	Rpl10
RPS3	Rps3
RPS6	Rps6
RPL23	Rpl23
RPS18	Rps18
RPL7	Rpl7
