human_symbol	mouse_symbol
EIF3A	Eif3a
EIF4A1	Eif4a1
EIF4G1	Eif4g1
EEF1A1	Eef1a1
EEF2	Eef2
RPLP0	Rplp0
RPS3	Rps3
RPL13A	Rpl13a
