human_symbol	mouse_symbol
ATF4	Atf4
DDIT3	Ddit3
XBP1	Xbp1
HSPA5	Hspa5
DNAJB9	Dnajb9
PPP1R15A	Ppp1r15a
ASNS	Asns
TRIB3	Trib3
