human_symbol	mouse_symbol
ATF4	Atf4
DDIT3	Ddit3
PPP1R15A	Ppp1r15a
ASNS	Asns
TRIB3	Trib3
CHAC1	Chac1
HERPUD1	Herpud1
CEBPB	Cebpb
